"id","year","SST8C9A_anual"
"1",1982,15.8783357177174
"2",1983,15.8650163742029
"3",1984,15.6389615702046
"4",1985,16.0227488493264
"5",1986,15.4436989096778
"6",1987,15.9725787032386
"7",1988,15.9945261541618
"8",1989,16.3966286865391
"9",1990,16.4165271881446
"10",1991,15.6183176445288
"11",1992,15.7595764999214
"12",1993,15.697230317374
"13",1994,15.7543560725668
"14",1995,16.2914835628786
"15",1996,16.0382125694904
"16",1997,16.6693095177762
"17",1998,16.2963425176436
"18",1999,16.2360270014664
"19",2000,16.0522548377055
"20",2001,16.0654847241218
"21",2002,15.9619479905183
"22",2003,16.4929783192876
"23",2004,16.2910161718114
"24",2005,16.3289948161929
"25",2006,16.8268249870757
"26",2007,16.1876014004308
"27",2008,16.4142200970882
"28",2009,16.2982159622598
"29",2010,16.4059594977642
"30",2011,16.7089359358591
"31",2012,16.4608051136416
"32",2013,16.1184796035704
"33",2014,16.7488845179628
"34",2015,16.4514587232291
"35",2016,16.5606991628172
"36",2017,16.6655345120539
"37",2018,16.1167269323413
"38",2019,16.3892458318628
