"","year","ssb"
"1",1982,40639.5250884158
"2",1983,45036.2406028963
"3",1984,42105.1592018793
"4",1985,42253.8035041403
"5",1986,38916.4260773673
"6",1987,35227.7153707098
"7",1988,25397.2140655771
"8",1989,18933.6681178156
"9",1990,15742.5451237599
"10",1991,16066.4009240319
"11",1992,14799.5723438455
"12",1993,11978.9199737137
"13",1994,8562.84353869592
"14",1995,6616.89261203691
"15",1996,7791.65939644819
"16",1997,6269.13811068767
"17",1998,5739.25299623414
"18",1999,7385.98716489388
"19",2000,8411.59394024397
"20",2001,8449.08301092694
"21",2002,8738.81158257294
"22",2003,8411.20055863882
"23",2004,8493.95928519661
"24",2005,8851.95768744072
"25",2006,10088.3170546735
"26",2007,11408.1262466857
"27",2008,12028.9105539366
"28",2009,13593.7260080925
"29",2010,13078.6812421033
"30",2011,15645.7580342173
"31",2012,14825.8280674276
"32",2013,12805.9601962162
"33",2014,14058.3447193347
"34",2015,11861.8043865912
"35",2016,11469.0672535831
"36",2017,12165.9893436338
"37",2018,12927.3060378462
"38",2019,13134.5371063084
